pais;regiao;fmi_estimativa;fmi_ano;bm_estimativa
Estados Unidos;América;25,440.000;2022;23,320,000
China;Ásia;17,960,000;[n 1]2022;17,820,000
Japão;Ásia;4,260,000;2022;5,030,000
Alemanha;Europa;4,080,000;2022;4,280,000
Índia;Ásia;3,440,000;2022;3,150,000
Reino Unido;Europa;3,090,000;2022;3,140,000
França;Europa;2,780,000;2022;2,960,000
Rússia;Europa;2,240,000;2022;1,840,000
Canadá;América;2,160,000;2022;2,010,000
Itália;Europa;2,050,000;2022;2,160,000
Brasil;América;1,920,000;2022;1,650,00
Austrália;Oceania;1,690,000;2022;1,560,000
Coreia do Sul;Ásia;1,670,000;2022;1,820,000
México;América;1,424,533;2022;1,293,038
Espanha;Europa;1,389,927;2022;1,425,277
Indonésia;Ásia;1,289,429;2022;1,186,093
Arábia Saudita;Ásia;1,010,588;2022;0,833,541
Países Baixos;Europa;0,990,583;2022;1,018,007
Turquia;Ásia;0,853,487;2022;0,815,272
Taiwan;Ásia;0,828,659;[n 3]2022;—
Suíça;Europa;0,807,418;2022;0,812,867
Polónia;Europa;0,716,305;2022;0,674,048
Argentina;América;0,630,698;2022;0,491,493
Suécia;Europa;0,603,922;2022;0,627,438
Bélgica;Europa;0,589,491;2022;0,599,879
Tailândia;Ásia;0,534,758;2022;0,505,982
Israel;Ásia;0,527,179;2022;0,481,591
Irlanda;Europa;0,519,776;2022;0,498,560
Noruega;Europa;0,504,703;2022;0,482,437
Nigéria;Africa;0,504,203;2022;0,440,777
Emirados Árabes Unidos;Ásia;0,503,913;2022;0,358,869
Egito;Africa;0,469,094;2022;0,404,143
Áustria;Europa;0,468,046;2022;0,477,083
Bangladesh;Ásia;0,460,751;2022;0,416,265
Malásia;Ásia;0,434,059;2022;0,372,701
Singapura;Ásia;0,423,632;2022;0,396,987
Irã;Ásia;0,413,490;[n 4]2022;0,359,109
Vietname;Ásia;0,413,808;2022;0,362,638
África do Sul;Africa;0,411,480;2022;0,419,946
Filipinas;Ásia;0,401,662;2022;0,394,086
Dinamarca;Europa;0,386,724;2022;0,397,104
Paquistão;Ásia;0,376,493;2022;0,346,343
Hong Kong;Ásia;0,368,373;[n 5]2022;0,368,139
Colômbia;América;0,342,919;2022;0,314,323
Chile;América;0,310,866;2022;0,317,059
Roménia;Europa;0,299,885;2022;0,284,088
Chéquia;Europa;0,295,618;2022;0,282,341
Iraque;Ásia;0,282,876;2022;0,207,889
Finlândia;Europa;0,281,411;2022;0,299,155
Portugal;Europa;0,255,854;2022;0,249,887
Nova Zelândia;Oceania;0,242,700;2022;0,249,992
Peru;América;0,239,333;2022;0,223,250
Cazaquistão;Ásia;0,224,338;2022;0,190,814
Grécia;Europa;0,222,008;2022;0,216,241
Catar;Ásia;0,221,369;2022;0,179,571
Ucrânia;Europa;0,199,719;[n 6]2021;0,200,086
Argélia;Africa;0,187,155;2022;0,167,983
Hungria;Europa;0,184,651;2022;0,182,281
Kuwait;Ásia;0,183,568;2022;0,105,960
Marrocos;Africa;0,142,874;2022;0,132,725
Angola;Africa;0,124,794;2022;0,072,547
Porto Rico;América;0,118,677;2022;0,103,138
Equador;América;0,115,469;2022;0,106,166
Quénia;Africa;0,114,858;2022;0,110,347
Eslováquia;Europa;0,112,418;2022;0,114,871
República Dominicana;América;0,112,417;2022;0,094,244
Etiópia;Africa;0,111,181;2022;0,111,271
Omã;Ásia;0,108,969;2022;0,085,869
Cuba;América;—;0,107,352;2020
Guatemala;América;0,091,318;2022;0,085,986
Bulgária;Europa;0,085,008;2022;0,080,271
Luxemburgo;Europa;0,082,154;2022;0,086,711
Venezuela;América;0,082,145;2022;0,482,359
Bielorrússia;Europa;0,079,704;2022;0,068,219
Uzbequistão;Ásia;0,079,117;2022;0,069,239
Tanzânia;Africa;0,076,582;2022;0,067,775
Gana;Africa;0,075,996;2022;0,077,594
Turquemenistão;Ásia;0,074,439;2022;0,045,231
Sri Lanka;Ásia;0,073,739;2022;0,084,519
Uruguai;América;0,071,161;2022;0,059,320
Panamá;América;0,071,085;2022;0,063,605
Azerbaijão;Ásia;0,070,066;2022;0,054,622
Croácia;Europa;0,069,380;2022;0,067,838
Costa do Marfim;Africa;0,068,630;2022;0,069,765
Costa Rica;América;0,068,489;2022;0,064,282
Lituânia;Europa;0,068,031;2022;0,065,504
República Democrática do Congo;Africa;0,063,909;2022;0,053,959
Sérvia;Europa;0,062,721;2022;0,063,068
Eslovénia;Europa;0,062,191;2022;0,061,526
Myanmar;Ásia;0,059,530;2022;0,065,068
Uganda;Africa;0,048,352;2022;0,040,435
Jordânia;Ásia;0,048,066;2022;0,045,244
Tunísia;Africa;0,046,282;2022;0,046,840
Camarões;Africa;0,044,212;2022;0,045,239
Bahrein;Ásia;0,043,544;2022;0,038,869
Bolívia;América;0,043,431;2022;0,040,408
Sudão;Africa;0,042,762;2022;0,034,326
Paraguai;América;0,041,855;2022;0,038,987
Líbia;Africa;0,040,836;2022;0,041,880
Letónia;Europa;0,040,588;2022;0,038,873
